================ Step 21: 几何邻居 + 下游听众 ================


=== Part A: down_col 几何邻居 (top-25) ===

--- L28#2406  (fact: Google) ---
  L30#167    g=+0.075  u=+0.072  g*u=+0.0053
  L30#3754   g=-0.088  u=-0.054  g*u=+0.0048
  L30#3938   g=-0.067  u=-0.071  g*u=+0.0048
  L30#3538   g=-0.051  u=-0.090  g*u=+0.0045
  L30#2236   g=-0.075  u=-0.060  g*u=+0.0045
  L30#10175  g=-0.065  u=-0.068  g*u=+0.0045
  L30#10590  g=-0.060  u=-0.074  g*u=+0.0044
  L30#6330   g=-0.058  u=-0.076  g*u=+0.0044
  L30#3621   g=+0.072  u=+0.057  g*u=+0.0041
  L30#7360   g=+0.064  u=+0.062  g*u=+0.0040
  L30#10880  g=-0.053  u=-0.075  g*u=+0.0040
  L30#9588   g=+0.078  u=+0.051  g*u=+0.0040
  L30#5899   g=+0.082  u=+0.047  g*u=+0.0039
  L30#2411   g=+0.058  u=+0.066  g*u=+0.0038

--- L31 (top-15) ---
  L31#1150   g=-0.066  u=-0.071  g*u=+0.0047
  L31#10784  g=-0.082  u=-0.055  g*u=+0.0045
  L31#8238   g=-0.080  u=-0.055  g*u=+0.0044
  L31#4950   g=+0.057  u=+0.077  g*u=+0.0044
  L31#6972   g=+0.086  u=+0.051  g*u=+0.0044
  L31#3870   g=-0.087  u=-0.047  g*u=+0.0041
  L31#3116   g=-0.080  u=-0.051  g*u=+0.0041
  L31#9366   g=+0.074  u=+0.054  g*u=+0.0040
  L31#1565   g=-0.053  u=-0.072  g*u=+0.0038
  L31#4243   g=+0.086  u=+0.043  g*u=+0.0037
  L31#9838   g=+0.058  u=+0.062  g*u=+0.0036
  L31#9230   g=+0.059  u=+0.061  g*u=+0.0036
  L31#11306  g=+0.064  u=+0.055  g*u=+0.0035
  L31#4440   g=-0.053  u=-0.066  g*u=+0.0035
  L31#5686   g=-0.058  u=-0.060  g*u=+0.0035

--- L32 (top-15) ---
  L32#7329   g=-0.071  u=-0.088  g*u=+0.0063
  L32#11892  g=-0.097  u=-0.055  g*u=+0.0053
  L32#8426   g=-0.065  u=-0.077  g*u=+0.0050
  L32#3634   g=-0.072  u=-0.068  g*u=+0.0049
  L32#2512   g=-0.087  u=-0.052  g*u=+0.0045
  L32#7507   g=+0.046  u=+0.093  g*u=+0.0043
  L32#9422   g=-0.050  u=-0.083  g*u=+0.0042
  L32#6828   g=+0.062  u=+0.062  g*u=+0.0039
  L32#1419   g=+0.063  u=+0.060  g*u=+0.0038
  L32#3887   g=-0.047  u=-0.079  g*u=+0.0037
  L32#20     g=+0.075  u=+0.048  g*u=+0.0036
  L32#367    g=-0.053  u=-0.067  g*u=+0.0036
  L32#4475   g=+0.078  u=+0.045  g*u=+0.0035
  L32#2603   g=-0.074  u=-0.046  g*u=+0.0034
  L32#8701   g=-0.061  u=-0.056  g*u=+0.0034

--- L33 (top-15) ---
  L33#5263   g=-0.086  u=-0.078  g*u=+0.0067
  L33#7254   g=-0.063  u=-0.096  g*u=+0.0060
  L33#9406   g=-0.095  u=-0.056  g*u=+0.0053
  L33#6340   g=-0.076  u=-0.070  g*u=+0.0053
  L33#7149   g=-0.077  u=-0.066  g*u=+0.0051
  L33#1805   g=+0.060  u=+0.082  g*u=+0.0049
  L33#631    g=-0.082  u=-0.058  g*u=+0.0048
  L33#10886  g=+0.122  u=+0.039  g*u=+0.0047
  L33#7176   g=+0.061  u=+0.077  g*u=+0.0047
  L33#8171   g=+0.078  u=+0.059  g*u=+0.0046
  L33#4168   g=-0.060  u=-0.076  g*u=+0.0046
  L33#9854   g=+0.088  u=+0.050  g*u=+0.0044
  L33#5403   g=-0.048  u=-0.092  g*u=+0.0044
  L33#5471   g=+0.056  u=+0.078  g*u=+0.0044
  L33#6711   g=+0.082  u=+0.053  g*u=+0.0044

--- L34 (top-15) ---
  L34#5010   g=+0.076  u=+0.104  g*u=+0.0079
  L34#8975   g=+0.070  u=+0.095  g*u=+0.0067
  L34#5331   g=-0.062  u=-0.100  g*u=+0.0062
  L34#8219   g=-0.058  u=-0.092  g*u=+0.0053
  L34#7859   g=+0.057  u=+0.092  g*u=+0.0053
  L34#10966  g=-0.090  u=-0.059  g*u=+0.0052
  L34#8349   g=+0.076  u=+0.066  g*u=+0.0050
  L34#7679   g=-0.076  u=-0.066  g*u=+0.0050
  L34#5524   g=+0.064  u=+0.078  g*u=+0.0049
  L34#11853  g=-0.106  u=-0.044  g*u=+0.0047
  L34#7474   g=+0.076  u=+0.056  g*u=+0.0043
  L34#7280   g=+0.050  u=+0.083  g*u=+0.0042
  L34#436    g=-0.080  u=-0.050  g*u=+0.0040
  L34#3628   g=+0.056  u=+0.072  g*u=+0.0040
  L34#11829  g=+0.047  u=+0.084  g*u=+0.0039
